sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and same size as original dataset lambda = 0.6,mlp,0.6154 ± 0.0101,0.6988 ± 0.0634,0.6526 ± 0.0247,0.5873 ± 0.0083,0.5873 ± 0.0083,0.0481 ± 0.0379,0.9257 ± 0.0562,0.1102 ± 0.0512
HC with fairness constraints and double the size of original dataset lambda = 0.6,logistic_regression,0.6550 ± 0.0042,0.7509 ± 0.0070,0.6997 ± 0.0024,0.6390 ± 0.0037,0.6390 ± 0.0037,0.1162 ± 0.0168,0.8345 ± 0.0204,0.1880 ± 0.0237
HC with fairness constraints and double the size of original dataset lambda = 0.6,random_forest,0.6402 ± 0.0053,0.6768 ± 0.0230,0.6578 ± 0.0122,0.6110 ± 0.0074,0.6110 ± 0.0074,0.0537 ± 0.0354,0.9147 ± 0.0550,0.1028 ± 0.0472
HC with fairness constraints and double the size of original dataset lambda = 0.6,xgboost,0.6417 ± 0.0045,0.7086 ± 0.0145,0.6734 ± 0.0065,0.6177 ± 0.0046,0.6177 ± 0.0046,0.0820 ± 0.0288,0.8765 ± 0.0411,0.1281 ± 0.0330
HC with fairness constraints and double the size of original dataset lambda = 0.6,mlp,0.6216 ± 0.0102,0.6893 ± 0.0271,0.6532 ± 0.0079,0.5932 ± 0.0085,0.5932 ± 0.0085,0.0274 ± 0.0249,0.9571 ± 0.0387,0.0713 ± 0.0285
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,logistic_regression,0.6797 ± 0.0040,0.6408 ± 0.0215,0.6594 ± 0.0099,0.6398 ± 0.0031,0.6398 ± 0.0031,0.1064 ± 0.0172,0.8172 ± 0.0298,0.1640 ± 0.0239
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,random_forest,0.6663 ± 0.0089,0.6717 ± 0.0233,0.6687 ± 0.0094,0.6344 ± 0.0062,0.6344 ± 0.0062,0.0307 ± 0.0142,0.9470 ± 0.0215,0.0797 ± 0.0238
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,xgboost,0.6785 ± 0.0090,0.6887 ± 0.0093,0.6835 ± 0.0067,0.6491 ± 0.0084,0.6491 ± 0.0084,0.1481 ± 0.0324,0.7733 ± 0.0428,0.1988 ± 0.0375
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,mlp,0.6448 ± 0.0152,0.6622 ± 0.0734,0.6509 ± 0.0297,0.6117 ± 0.0117,0.6117 ± 0.0117,0.0390 ± 0.0491,0.9376 ± 0.0744,0.0926 ± 0.0430
HC with fairness constraints and equal number of protected attribute lambda = 0.6,logistic_regression,0.6797 ± 0.0040,0.6408 ± 0.0215,0.6594 ± 0.0099,0.6398 ± 0.0031,0.6398 ± 0.0031,0.1064 ± 0.0172,0.8172 ± 0.0298,0.1640 ± 0.0239
HC with fairness constraints and equal number of protected attribute lambda = 0.6,random_forest,0.6663 ± 0.0089,0.6717 ± 0.0233,0.6687 ± 0.0094,0.6344 ± 0.0062,0.6344 ± 0.0062,0.0307 ± 0.0142,0.9470 ± 0.0215,0.0797 ± 0.0238
HC with fairness constraints and equal number of protected attribute lambda = 0.6,xgboost,0.6785 ± 0.0090,0.6887 ± 0.0093,0.6835 ± 0.0067,0.6491 ± 0.0084,0.6491 ± 0.0084,0.1481 ± 0.0324,0.7733 ± 0.0428,0.1988 ± 0.0375
HC with fairness constraints and equal number of protected attribute lambda = 0.6,mlp,0.6451 ± 0.0125,0.6467 ± 0.1219,0.6385 ± 0.0665,0.6090 ± 0.0171,0.6090 ± 0.0171,0.0581 ± 0.0435,0.9013 ± 0.0630,0.1038 ± 0.0502
HC with fairness constraints and same size as original dataset lambda = 0.7,logistic_regression,0.6146 ± 0.0081,0.6884 ± 0.0427,0.6489 ± 0.0221,0.5864 ± 0.0130,0.5864 ± 0.0130,0.1243 ± 0.0339,0.8217 ± 0.0387,0.1226 ± 0.0308
HC with fairness constraints and same size as original dataset lambda = 0.7,random_forest,0.6082 ± 0.0108,0.6661 ± 0.0226,0.6356 ± 0.0113,0.5763 ± 0.0117,0.5763 ± 0.0117,0.0930 ± 0.0345,0.8584 ± 0.0527,0.1097 ± 0.0328
HC with fairness constraints and same size as original dataset lambda = 0.7,xgboost,0.6130 ± 0.0083,0.7030 ± 0.0380,0.6543 ± 0.0155,0.5858 ± 0.0088,0.5858 ± 0.0088,0.0790 ± 0.0522,0.8833 ± 0.0766,0.0919 ± 0.0545
HC with fairness constraints and same size as original dataset lambda = 0.7,mlp,0.6052 ± 0.0098,0.6339 ± 0.1058,0.6149 ± 0.0551,0.5702 ± 0.0176,0.5702 ± 0.0176,0.0785 ± 0.0609,0.8832 ± 0.0732,0.1004 ± 0.0572
HC with fairness constraints and double the size of original dataset lambda = 0.7,logistic_regression,0.6106 ± 0.0028,0.7060 ± 0.0286,0.6545 ± 0.0119,0.5838 ± 0.0039,0.5838 ± 0.0039,0.1544 ± 0.0615,0.7909 ± 0.0811,0.1897 ± 0.0578
HC with fairness constraints and double the size of original dataset lambda = 0.7,random_forest,0.5854 ± 0.0083,0.6307 ± 0.0309,0.6069 ± 0.0174,0.5484 ± 0.0108,0.5484 ± 0.0108,0.0237 ± 0.0147,0.9599 ± 0.0252,0.0628 ± 0.0186
HC with fairness constraints and double the size of original dataset lambda = 0.7,xgboost,0.5967 ± 0.0052,0.7051 ± 0.0115,0.6463 ± 0.0042,0.5675 ± 0.0056,0.5675 ± 0.0056,0.0419 ± 0.0382,0.9400 ± 0.0537,0.0574 ± 0.0272
HC with fairness constraints and double the size of original dataset lambda = 0.7,mlp,0.5698 ± 0.0118,0.6616 ± 0.0426,0.6114 ± 0.0176,0.5315 ± 0.0143,0.5315 ± 0.0143,0.0898 ± 0.0413,0.8675 ± 0.0593,0.1315 ± 0.0494
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,logistic_regression,0.6381 ± 0.0055,0.6089 ± 0.0151,0.6231 ± 0.0099,0.5981 ± 0.0068,0.5981 ± 0.0068,0.2326 ± 0.0210,0.6540 ± 0.0212,0.2212 ± 0.0216
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,random_forest,0.5886 ± 0.0054,0.5914 ± 0.0063,0.5900 ± 0.0035,0.5485 ± 0.0054,0.5485 ± 0.0054,0.1525 ± 0.0278,0.7650 ± 0.0374,0.1718 ± 0.0174
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,xgboost,0.5929 ± 0.0061,0.5807 ± 0.0247,0.5865 ± 0.0147,0.5521 ± 0.0078,0.5521 ± 0.0078,0.1774 ± 0.0087,0.7262 ± 0.0174,0.2169 ± 0.0216
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.7,mlp,0.5788 ± 0.0082,0.6176 ± 0.0148,0.5975 ± 0.0098,0.5401 ± 0.0096,0.5401 ± 0.0096,0.1283 ± 0.0683,0.8127 ± 0.0951,0.1519 ± 0.0698
HC with fairness constraints and equal number of protected attribute lambda = 0.7,logistic_regression,0.6381 ± 0.0055,0.6089 ± 0.0151,0.6231 ± 0.0099,0.5981 ± 0.0068,0.5981 ± 0.0068,0.2326 ± 0.0210,0.6540 ± 0.0212,0.2212 ± 0.0216
HC with fairness constraints and equal number of protected attribute lambda = 0.7,random_forest,0.5886 ± 0.0054,0.5914 ± 0.0063,0.5900 ± 0.0035,0.5485 ± 0.0054,0.5485 ± 0.0054,0.1525 ± 0.0278,0.7650 ± 0.0374,0.1718 ± 0.0174
HC with fairness constraints and equal number of protected attribute lambda = 0.7,xgboost,0.5929 ± 0.0061,0.5807 ± 0.0247,0.5865 ± 0.0147,0.5521 ± 0.0078,0.5521 ± 0.0078,0.1774 ± 0.0087,0.7262 ± 0.0174,0.2169 ± 0.0216
HC with fairness constraints and equal number of protected attribute lambda = 0.7,mlp,0.5780 ± 0.0061,0.5705 ± 0.0395,0.5737 ± 0.0227,0.5365 ± 0.0085,0.5365 ± 0.0085,0.1505 ± 0.0405,0.7630 ± 0.0630,0.1791 ± 0.0508
HC with fairness constraints and same size as original dataset lambda = 0.8,logistic_regression,0.6587 ± 0.0022,0.7887 ± 0.0047,0.7179 ± 0.0015,0.6500 ± 0.0019,0.6500 ± 0.0019,0.1215 ± 0.0055,0.8339 ± 0.0061,0.1793 ± 0.0120
HC with fairness constraints and same size as original dataset lambda = 0.8,random_forest,0.6323 ± 0.0097,0.7268 ± 0.0112,0.6762 ± 0.0083,0.6105 ± 0.0111,0.6105 ± 0.0111,0.0970 ± 0.0258,0.8597 ± 0.0357,0.1804 ± 0.0391
HC with fairness constraints and same size as original dataset lambda = 0.8,xgboost,0.6364 ± 0.0046,0.7551 ± 0.0124,0.6906 ± 0.0052,0.6195 ± 0.0050,0.6195 ± 0.0050,0.0790 ± 0.0191,0.8873 ± 0.0250,0.1402 ± 0.0273
HC with fairness constraints and same size as original dataset lambda = 0.8,mlp,0.6245 ± 0.0085,0.7003 ± 0.0396,0.6595 ± 0.0161,0.5980 ± 0.0076,0.5980 ± 0.0076,0.0744 ± 0.0338,0.8904 ± 0.0468,0.1482 ± 0.0354
HC with fairness constraints and double the size of original dataset lambda = 0.8,logistic_regression,0.6702 ± 0.0066,0.7521 ± 0.0316,0.7084 ± 0.0112,0.6545 ± 0.0045,0.6545 ± 0.0045,0.0890 ± 0.0313,0.8665 ± 0.0479,0.1576 ± 0.0325
HC with fairness constraints and double the size of original dataset lambda = 0.8,random_forest,0.6344 ± 0.0060,0.7298 ± 0.0157,0.6786 ± 0.0049,0.6133 ± 0.0049,0.6133 ± 0.0049,0.0442 ± 0.0292,0.9328 ± 0.0441,0.1313 ± 0.0244
HC with fairness constraints and double the size of original dataset lambda = 0.8,xgboost,0.6572 ± 0.0053,0.7640 ± 0.0020,0.7066 ± 0.0033,0.6437 ± 0.0056,0.6437 ± 0.0056,0.0892 ± 0.0132,0.8713 ± 0.0169,0.1320 ± 0.0207
HC with fairness constraints and double the size of original dataset lambda = 0.8,mlp,0.6237 ± 0.0094,0.7369 ± 0.0372,0.6750 ± 0.0118,0.6021 ± 0.0079,0.6021 ± 0.0079,0.0401 ± 0.0354,0.9426 ± 0.0496,0.1321 ± 0.0439
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,logistic_regression,0.6875 ± 0.0067,0.6414 ± 0.0028,0.6636 ± 0.0039,0.6463 ± 0.0057,0.6463 ± 0.0057,0.0732 ± 0.0207,0.8689 ± 0.0355,0.1546 ± 0.0222
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,random_forest,0.6530 ± 0.0043,0.6753 ± 0.0135,0.6639 ± 0.0060,0.6231 ± 0.0038,0.6231 ± 0.0038,0.0304 ± 0.0228,0.9491 ± 0.0375,0.0639 ± 0.0223
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,xgboost,0.6578 ± 0.0066,0.6842 ± 0.0175,0.6706 ± 0.0073,0.6291 ± 0.0056,0.6291 ± 0.0056,0.0718 ± 0.0320,0.8838 ± 0.0506,0.1140 ± 0.0251
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.8,mlp,0.6235 ± 0.0105,0.7232 ± 0.0523,0.6687 ± 0.0230,0.6002 ± 0.0140,0.6002 ± 0.0140,0.0415 ± 0.0418,0.9387 ± 0.0563,0.0722 ± 0.0510
HC with fairness constraints and equal number of protected attribute lambda = 0.8,logistic_regression,0.6875 ± 0.0067,0.6414 ± 0.0028,0.6636 ± 0.0039,0.6463 ± 0.0057,0.6463 ± 0.0057,0.0732 ± 0.0207,0.8689 ± 0.0355,0.1546 ± 0.0222
HC with fairness constraints and equal number of protected attribute lambda = 0.8,random_forest,0.6530 ± 0.0043,0.6753 ± 0.0135,0.6639 ± 0.0060,0.6231 ± 0.0038,0.6231 ± 0.0038,0.0304 ± 0.0228,0.9491 ± 0.0375,0.0639 ± 0.0223
HC with fairness constraints and equal number of protected attribute lambda = 0.8,xgboost,0.6578 ± 0.0066,0.6842 ± 0.0175,0.6706 ± 0.0073,0.6291 ± 0.0056,0.6291 ± 0.0056,0.0718 ± 0.0320,0.8838 ± 0.0506,0.1140 ± 0.0251
HC with fairness constraints and equal number of protected attribute lambda = 0.8,mlp,0.6357 ± 0.0205,0.6955 ± 0.0730,0.6612 ± 0.0237,0.6067 ± 0.0119,0.6067 ± 0.0119,0.0610 ± 0.0623,0.9067 ± 0.0913,0.0890 ± 0.0659
HC with fairness constraints and same size as original dataset lambda = 0.9,logistic_regression,0.6494 ± 0.0025,0.7530 ± 0.0280,0.6971 ± 0.0119,0.6334 ± 0.0053,0.6334 ± 0.0053,0.1259 ± 0.0194,0.8236 ± 0.0259,0.2083 ± 0.0153
HC with fairness constraints and same size as original dataset lambda = 0.9,random_forest,0.6444 ± 0.0065,0.7116 ± 0.0318,0.6760 ± 0.0138,0.6209 ± 0.0071,0.6209 ± 0.0071,0.0899 ± 0.0416,0.8649 ± 0.0577,0.1722 ± 0.0410
HC with fairness constraints and same size as original dataset lambda = 0.9,xgboost,0.6511 ± 0.0035,0.7167 ± 0.0217,0.6822 ± 0.0111,0.6288 ± 0.0067,0.6288 ± 0.0067,0.1445 ± 0.0170,0.7922 ± 0.0174,0.2333 ± 0.0202
HC with fairness constraints and same size as original dataset lambda = 0.9,mlp,0.6355 ± 0.0117,0.6583 ± 0.0481,0.6458 ± 0.0237,0.6032 ± 0.0138,0.6032 ± 0.0138,0.1068 ± 0.0800,0.8423 ± 0.0949,0.1789 ± 0.0712
HC with fairness constraints and double the size of original dataset lambda = 0.9,logistic_regression,0.6532 ± 0.0025,0.7241 ± 0.0055,0.6868 ± 0.0015,0.6322 ± 0.0017,0.6322 ± 0.0017,0.1328 ± 0.0117,0.8078 ± 0.0153,0.1983 ± 0.0154
HC with fairness constraints and double the size of original dataset lambda = 0.9,random_forest,0.6277 ± 0.0063,0.7307 ± 0.0059,0.6753 ± 0.0059,0.6063 ± 0.0077,0.6063 ± 0.0077,0.1786 ± 0.0187,0.7623 ± 0.0215,0.2509 ± 0.0230
HC with fairness constraints and double the size of original dataset lambda = 0.9,xgboost,0.6439 ± 0.0049,0.7491 ± 0.0109,0.6925 ± 0.0063,0.6269 ± 0.0062,0.6269 ± 0.0062,0.1905 ± 0.0095,0.7486 ± 0.0115,0.2715 ± 0.0169
HC with fairness constraints and double the size of original dataset lambda = 0.9,mlp,0.6221 ± 0.0062,0.7542 ± 0.0308,0.6814 ± 0.0102,0.6029 ± 0.0048,0.6029 ± 0.0048,0.1792 ± 0.0366,0.7703 ± 0.0402,0.2536 ± 0.0420
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,logistic_regression,0.6584 ± 0.0035,0.6905 ± 0.0098,0.6740 ± 0.0037,0.6310 ± 0.0025,0.6310 ± 0.0025,0.0878 ± 0.0131,0.8605 ± 0.0181,0.1394 ± 0.0189
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,random_forest,0.6361 ± 0.0046,0.6661 ± 0.0145,0.6506 ± 0.0064,0.6051 ± 0.0042,0.6051 ± 0.0042,0.0270 ± 0.0198,0.9544 ± 0.0337,0.0509 ± 0.0118
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,xgboost,0.6467 ± 0.0048,0.6914 ± 0.0154,0.6682 ± 0.0090,0.6199 ± 0.0066,0.6199 ± 0.0066,0.0459 ± 0.0278,0.9261 ± 0.0419,0.0906 ± 0.0134
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.9,mlp,0.6137 ± 0.0012,0.6789 ± 0.0246,0.6444 ± 0.0105,0.5839 ± 0.0018,0.5839 ± 0.0018,0.0498 ± 0.0431,0.9227 ± 0.0652,0.1052 ± 0.0559
HC with fairness constraints and equal number of protected attribute lambda = 0.9,logistic_regression,0.6584 ± 0.0035,0.6905 ± 0.0098,0.6740 ± 0.0037,0.6310 ± 0.0025,0.6310 ± 0.0025,0.0878 ± 0.0131,0.8605 ± 0.0181,0.1394 ± 0.0189
HC with fairness constraints and equal number of protected attribute lambda = 0.9,random_forest,0.6361 ± 0.0046,0.6661 ± 0.0145,0.6506 ± 0.0064,0.6051 ± 0.0042,0.6051 ± 0.0042,0.0270 ± 0.0198,0.9544 ± 0.0337,0.0509 ± 0.0118
HC with fairness constraints and equal number of protected attribute lambda = 0.9,xgboost,0.6467 ± 0.0048,0.6914 ± 0.0154,0.6682 ± 0.0090,0.6199 ± 0.0066,0.6199 ± 0.0066,0.0459 ± 0.0278,0.9261 ± 0.0419,0.0906 ± 0.0134
HC with fairness constraints and equal number of protected attribute lambda = 0.9,mlp,0.6191 ± 0.0042,0.6676 ± 0.0347,0.6420 ± 0.0170,0.5882 ± 0.0069,0.5882 ± 0.0069,0.0387 ± 0.0187,0.9376 ± 0.0272,0.0944 ± 0.0361
HC with fairness constraints and same size as original dataset lambda = 1.0,logistic_regression,0.6573 ± 0.0021,0.7027 ± 0.0057,0.6792 ± 0.0034,0.6323 ± 0.0027,0.6323 ± 0.0027,0.1287 ± 0.0063,0.8068 ± 0.0083,0.1987 ± 0.0101
HC with fairness constraints and same size as original dataset lambda = 1.0,random_forest,0.6354 ± 0.0024,0.6905 ± 0.0096,0.6618 ± 0.0053,0.6084 ± 0.0036,0.6084 ± 0.0036,0.0991 ± 0.0293,0.8501 ± 0.0392,0.0985 ± 0.0311
HC with fairness constraints and same size as original dataset lambda = 1.0,xgboost,0.6424 ± 0.0055,0.7027 ± 0.0148,0.6711 ± 0.0040,0.6174 ± 0.0036,0.6174 ± 0.0036,0.1221 ± 0.0201,0.8195 ± 0.0265,0.1459 ± 0.0165
HC with fairness constraints and same size as original dataset lambda = 1.0,mlp,0.6151 ± 0.0155,0.6574 ± 0.0688,0.6329 ± 0.0244,0.5807 ± 0.0089,0.5807 ± 0.0089,0.0696 ± 0.0302,0.8904 ± 0.0411,0.0885 ± 0.0395
HC with fairness constraints and double the size of original dataset lambda = 1.0,logistic_regression,0.6553 ± 0.0012,0.7015 ± 0.0119,0.6775 ± 0.0051,0.6301 ± 0.0018,0.6301 ± 0.0018,0.0904 ± 0.0244,0.8595 ± 0.0370,0.1534 ± 0.0237
HC with fairness constraints and double the size of original dataset lambda = 1.0,random_forest,0.6357 ± 0.0049,0.7345 ± 0.0125,0.6815 ± 0.0075,0.6157 ± 0.0068,0.6157 ± 0.0068,0.0694 ± 0.0423,0.8992 ± 0.0584,0.1228 ± 0.0509
HC with fairness constraints and double the size of original dataset lambda = 1.0,xgboost,0.6460 ± 0.0062,0.7682 ± 0.0041,0.7018 ± 0.0028,0.6323 ± 0.0063,0.6323 ± 0.0063,0.1039 ± 0.0158,0.8549 ± 0.0207,0.1885 ± 0.0270
HC with fairness constraints and double the size of original dataset lambda = 1.0,mlp,0.6308 ± 0.0064,0.6658 ± 0.0524,0.6467 ± 0.0237,0.5996 ± 0.0071,0.5996 ± 0.0071,0.0491 ± 0.0439,0.9195 ± 0.0654,0.1068 ± 0.0409
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,logistic_regression,0.6504 ± 0.0042,0.7074 ± 0.0153,0.6776 ± 0.0054,0.6263 ± 0.0025,0.6263 ± 0.0025,0.1380 ± 0.0211,0.7980 ± 0.0291,0.1952 ± 0.0199
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,random_forest,0.6264 ± 0.0053,0.6387 ± 0.0172,0.6324 ± 0.0094,0.5916 ± 0.0063,0.5916 ± 0.0063,0.0729 ± 0.0428,0.8808 ± 0.0688,0.0845 ± 0.0484
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,xgboost,0.6401 ± 0.0036,0.6801 ± 0.0156,0.6594 ± 0.0076,0.6114 ± 0.0045,0.6114 ± 0.0045,0.1106 ± 0.0286,0.8305 ± 0.0423,0.1543 ± 0.0358
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.0,mlp,0.6158 ± 0.0073,0.6193 ± 0.0265,0.6171 ± 0.0110,0.5784 ± 0.0048,0.5784 ± 0.0048,0.0933 ± 0.0159,0.8464 ± 0.0201,0.1016 ± 0.0130
HC with fairness constraints and equal number of protected attribute lambda = 1.0,logistic_regression,0.6504 ± 0.0042,0.7074 ± 0.0153,0.6776 ± 0.0054,0.6263 ± 0.0025,0.6263 ± 0.0025,0.1380 ± 0.0211,0.7980 ± 0.0291,0.1952 ± 0.0199
HC with fairness constraints and equal number of protected attribute lambda = 1.0,random_forest,0.6264 ± 0.0053,0.6387 ± 0.0172,0.6324 ± 0.0094,0.5916 ± 0.0063,0.5916 ± 0.0063,0.0729 ± 0.0428,0.8808 ± 0.0688,0.0845 ± 0.0484
HC with fairness constraints and equal number of protected attribute lambda = 1.0,xgboost,0.6401 ± 0.0036,0.6801 ± 0.0156,0.6594 ± 0.0076,0.6114 ± 0.0045,0.6114 ± 0.0045,0.1106 ± 0.0286,0.8305 ± 0.0423,0.1543 ± 0.0358
HC with fairness constraints and equal number of protected attribute lambda = 1.0,mlp,0.6180 ± 0.0081,0.6232 ± 0.0385,0.6199 ± 0.0185,0.5810 ± 0.0075,0.5810 ± 0.0075,0.0717 ± 0.0419,0.8844 ± 0.0648,0.0794 ± 0.0361
HC with fairness constraints and same size as original dataset lambda = 1.1,logistic_regression,0.6567 ± 0.0049,0.7440 ± 0.0173,0.6975 ± 0.0050,0.6393 ± 0.0019,0.6393 ± 0.0019,0.0329 ± 0.0160,0.9495 ± 0.0235,0.0905 ± 0.0119
HC with fairness constraints and same size as original dataset lambda = 1.1,random_forest,0.6131 ± 0.0042,0.7190 ± 0.0186,0.6618 ± 0.0100,0.5883 ± 0.0068,0.5883 ± 0.0068,0.0371 ± 0.0217,0.9431 ± 0.0333,0.0788 ± 0.0347
HC with fairness constraints and same size as original dataset lambda = 1.1,xgboost,0.6208 ± 0.0059,0.7631 ± 0.0143,0.6846 ± 0.0077,0.6029 ± 0.0079,0.6029 ± 0.0079,0.0161 ± 0.0055,0.9762 ± 0.0080,0.0904 ± 0.0034
HC with fairness constraints and same size as original dataset lambda = 1.1,mlp,0.6184 ± 0.0119,0.6836 ± 0.0141,0.6491 ± 0.0040,0.5891 ± 0.0108,0.5891 ± 0.0108,0.0388 ± 0.0377,0.9388 ± 0.0595,0.0822 ± 0.0399
HC with fairness constraints and double the size of original dataset lambda = 1.1,logistic_regression,0.6383 ± 0.0023,0.8036 ± 0.0074,0.7115 ± 0.0030,0.6295 ± 0.0028,0.6295 ± 0.0028,0.0735 ± 0.0102,0.9000 ± 0.0121,0.1250 ± 0.0157
HC with fairness constraints and double the size of original dataset lambda = 1.1,random_forest,0.6145 ± 0.0031,0.7021 ± 0.0175,0.6553 ± 0.0087,0.5877 ± 0.0051,0.5877 ± 0.0051,0.0866 ± 0.0339,0.8733 ± 0.0474,0.0794 ± 0.0317
HC with fairness constraints and double the size of original dataset lambda = 1.1,xgboost,0.6301 ± 0.0033,0.7420 ± 0.0131,0.6814 ± 0.0051,0.6105 ± 0.0035,0.6105 ± 0.0035,0.0743 ± 0.0237,0.8925 ± 0.0332,0.0770 ± 0.0177
HC with fairness constraints and double the size of original dataset lambda = 1.1,mlp,0.6141 ± 0.0056,0.6571 ± 0.0481,0.6339 ± 0.0223,0.5814 ± 0.0064,0.5814 ± 0.0064,0.0683 ± 0.0445,0.8921 ± 0.0676,0.0740 ± 0.0405
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,logistic_regression,0.6636 ± 0.0021,0.6000 ± 0.0096,0.6302 ± 0.0054,0.6181 ± 0.0026,0.6181 ± 0.0026,0.0659 ± 0.0141,0.8774 ± 0.0235,0.0908 ± 0.0128
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,random_forest,0.6040 ± 0.0083,0.5884 ± 0.0084,0.5961 ± 0.0082,0.5636 ± 0.0088,0.5636 ± 0.0088,0.0375 ± 0.0231,0.9335 ± 0.0394,0.0587 ± 0.0418
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,xgboost,0.6106 ± 0.0062,0.5801 ± 0.0046,0.5949 ± 0.0049,0.5689 ± 0.0062,0.5689 ± 0.0062,0.0385 ± 0.0288,0.9306 ± 0.0491,0.0746 ± 0.0454
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.1,mlp,0.6016 ± 0.0134,0.5943 ± 0.0472,0.5966 ± 0.0228,0.5611 ± 0.0127,0.5611 ± 0.0127,0.0569 ± 0.0643,0.9071 ± 0.1024,0.0885 ± 0.0456
HC with fairness constraints and equal number of protected attribute lambda = 1.1,logistic_regression,0.6636 ± 0.0021,0.6000 ± 0.0096,0.6302 ± 0.0054,0.6181 ± 0.0026,0.6181 ± 0.0026,0.0659 ± 0.0141,0.8774 ± 0.0235,0.0908 ± 0.0128
HC with fairness constraints and equal number of protected attribute lambda = 1.1,random_forest,0.6040 ± 0.0083,0.5884 ± 0.0084,0.5961 ± 0.0082,0.5636 ± 0.0088,0.5636 ± 0.0088,0.0375 ± 0.0231,0.9335 ± 0.0394,0.0587 ± 0.0418
HC with fairness constraints and equal number of protected attribute lambda = 1.1,xgboost,0.6106 ± 0.0062,0.5801 ± 0.0046,0.5949 ± 0.0049,0.5689 ± 0.0062,0.5689 ± 0.0062,0.0385 ± 0.0288,0.9306 ± 0.0491,0.0746 ± 0.0454
HC with fairness constraints and equal number of protected attribute lambda = 1.1,mlp,0.5965 ± 0.0123,0.6327 ± 0.0650,0.6118 ± 0.0257,0.5591 ± 0.0097,0.5591 ± 0.0097,0.0181 ± 0.0168,0.9688 ± 0.0286,0.0543 ± 0.0224
HC with fairness constraints and same size as original dataset lambda = 1.2,logistic_regression,0.5503 ± 0.0051,0.9289 ± 0.0231,0.6911 ± 0.0094,0.5107 ± 0.0096,0.5107 ± 0.0096,0.0708 ± 0.0362,0.9251 ± 0.0379,0.0922 ± 0.0395
HC with fairness constraints and same size as original dataset lambda = 1.2,random_forest,0.5466 ± 0.0044,0.6985 ± 0.0141,0.6132 ± 0.0065,0.5028 ± 0.0062,0.5028 ± 0.0062,0.1337 ± 0.0287,0.8204 ± 0.0368,0.1665 ± 0.0310
HC with fairness constraints and same size as original dataset lambda = 1.2,xgboost,0.5506 ± 0.0062,0.7765 ± 0.0230,0.6442 ± 0.0111,0.5094 ± 0.0099,0.5094 ± 0.0099,0.0978 ± 0.0330,0.8779 ± 0.0418,0.1323 ± 0.0467
HC with fairness constraints and same size as original dataset lambda = 1.2,mlp,0.5515 ± 0.0067,0.7146 ± 0.0318,0.6222 ± 0.0137,0.5098 ± 0.0092,0.5098 ± 0.0092,0.1465 ± 0.0557,0.8069 ± 0.0740,0.1953 ± 0.0529
HC with fairness constraints and double the size of original dataset lambda = 1.2,logistic_regression,0.5672 ± 0.0055,0.9176 ± 0.0396,0.7007 ± 0.0105,0.5399 ± 0.0088,0.5399 ± 0.0088,0.0839 ± 0.0146,0.9075 ± 0.0168,0.1217 ± 0.0289
