sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and same size as original dataset lambda = 4.0,xgboost,0.9094 ± 0.0060,0.9284 ± 0.0063,0.9188 ± 0.0024,0.9599 ± 0.0029,0.9599 ± 0.0029,0.0430 ± 0.0024,0.5434 ± 0.0257,0.0188 ± 0.0116
HC with fairness constraints and same size as original dataset lambda = 4.0,mlp,0.8826 ± 0.0124,0.9335 ± 0.0034,0.9073 ± 0.0059,0.9609 ± 0.0015,0.9609 ± 0.0015,0.0378 ± 0.0066,0.6085 ± 0.0704,0.0288 ± 0.0132
HC with fairness constraints and double the size of original dataset lambda = 4.0,logistic_regression,0.8970 ± 0.0010,0.9602 ± 0.0000,0.9276 ± 0.0005,0.9749 ± 0.0001,0.9749 ± 0.0001,0.0435 ± 0.0006,0.5581 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 4.0,random_forest,0.8921 ± 0.0080,0.9295 ± 0.0042,0.9104 ± 0.0037,0.9595 ± 0.0019,0.9595 ± 0.0019,0.0373 ± 0.0056,0.6086 ± 0.0533,0.0202 ± 0.0083
HC with fairness constraints and double the size of original dataset lambda = 4.0,xgboost,0.9063 ± 0.0093,0.9324 ± 0.0042,0.9191 ± 0.0032,0.9617 ± 0.0017,0.9617 ± 0.0017,0.0438 ± 0.0044,0.5389 ± 0.0441,0.0151 ± 0.0053
HC with fairness constraints and double the size of original dataset lambda = 4.0,mlp,0.8802 ± 0.0045,0.9352 ± 0.0021,0.9069 ± 0.0023,0.9616 ± 0.0010,0.9616 ± 0.0010,0.0360 ± 0.0075,0.6284 ± 0.0737,0.0204 ± 0.0046
HC with fairness constraints and equal number of class 1 and class 0 lambda = 4.0,logistic_regression,0.7582 ± 0.0066,0.9602 ± 0.0000,0.8474 ± 0.0041,0.9658 ± 0.0005,0.9658 ± 0.0005,0.0210 ± 0.0041,0.8346 ± 0.0277,0.0737 ± 0.0042
HC with fairness constraints and equal number of class 1 and class 0 lambda = 4.0,random_forest,0.6614 ± 0.0152,0.9631 ± 0.0000,0.7841 ± 0.0108,0.9584 ± 0.0016,0.9584 ± 0.0016,0.0574 ± 0.0160,0.6749 ± 0.0646,0.1112 ± 0.0167
HC with fairness constraints and equal number of class 1 and class 0 lambda = 4.0,xgboost,0.7119 ± 0.0152,0.9631 ± 0.0000,0.8186 ± 0.0101,0.9632 ± 0.0014,0.9632 ± 0.0014,0.0320 ± 0.0130,0.7829 ± 0.0715,0.0851 ± 0.0135
HC with fairness constraints and equal number of class 1 and class 0 lambda = 4.0,mlp,0.6905 ± 0.0224,0.9648 ± 0.0034,0.8047 ± 0.0144,0.9620 ± 0.0010,0.9620 ± 0.0010,0.0427 ± 0.0091,0.7277 ± 0.0516,0.0963 ± 0.0094
HC with fairness constraints and equal number of protected attribute lambda = 4.0,logistic_regression,0.7582 ± 0.0066,0.9602 ± 0.0000,0.8474 ± 0.0041,0.9658 ± 0.0005,0.9658 ± 0.0005,0.0210 ± 0.0041,0.8346 ± 0.0277,0.0737 ± 0.0042
HC with fairness constraints and equal number of protected attribute lambda = 4.0,random_forest,0.6614 ± 0.0152,0.9631 ± 0.0000,0.7841 ± 0.0108,0.9584 ± 0.0016,0.9584 ± 0.0016,0.0574 ± 0.0160,0.6749 ± 0.0646,0.1112 ± 0.0167
HC with fairness constraints and equal number of protected attribute lambda = 4.0,xgboost,0.7119 ± 0.0152,0.9631 ± 0.0000,0.8186 ± 0.0101,0.9632 ± 0.0014,0.9632 ± 0.0014,0.0320 ± 0.0130,0.7829 ± 0.0715,0.0851 ± 0.0135
HC with fairness constraints and equal number of protected attribute lambda = 4.0,mlp,0.6371 ± 0.0519,0.9744 ± 0.0130,0.7688 ± 0.0346,0.9606 ± 0.0014,0.9606 ± 0.0014,0.0510 ± 0.0135,0.7140 ± 0.0525,0.1053 ± 0.0145
HC with fairness constraints and same size as original dataset lambda = 40.0,logistic_regression,0.9037 ± 0.0000,0.9602 ± 0.0000,0.9311 ± 0.0000,0.9753 ± 0.0000,0.9753 ± 0.0000,0.0479 ± 0.0000,0.5132 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 40.0,random_forest,0.8859 ± 0.0042,0.9216 ± 0.0130,0.9033 ± 0.0070,0.9552 ± 0.0065,0.9552 ± 0.0065,0.0412 ± 0.0031,0.5685 ± 0.0339,0.0262 ± 0.0139
HC with fairness constraints and same size as original dataset lambda = 40.0,xgboost,0.8910 ± 0.0035,0.9199 ± 0.0055,0.9052 ± 0.0028,0.9547 ± 0.0027,0.9547 ± 0.0027,0.0415 ± 0.0014,0.5625 ± 0.0152,0.0325 ± 0.0120
HC with fairness constraints and same size as original dataset lambda = 40.0,mlp,0.8835 ± 0.0089,0.9165 ± 0.0129,0.8996 ± 0.0066,0.9526 ± 0.0062,0.9526 ± 0.0062,0.0394 ± 0.0056,0.5852 ± 0.0563,0.0350 ± 0.0119
HC with fairness constraints and double the size of original dataset lambda = 40.0,logistic_regression,0.9018 ± 0.0018,0.9602 ± 0.0000,0.9301 ± 0.0010,0.9752 ± 0.0001,0.9752 ± 0.0001,0.0467 ± 0.0012,0.5260 ± 0.0120,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 40.0,random_forest,0.9044 ± 0.0038,0.9290 ± 0.0123,0.9164 ± 0.0043,0.9599 ± 0.0059,0.9599 ± 0.0059,0.0474 ± 0.0029,0.5037 ± 0.0240,0.0678 ± 0.0229
HC with fairness constraints and double the size of original dataset lambda = 40.0,xgboost,0.9060 ± 0.0038,0.9244 ± 0.0140,0.9150 ± 0.0054,0.9577 ± 0.0068,0.9577 ± 0.0068,0.0463 ± 0.0027,0.5108 ± 0.0264,0.0727 ± 0.0212
HC with fairness constraints and double the size of original dataset lambda = 40.0,mlp,0.8928 ± 0.0038,0.9369 ± 0.0079,0.9143 ± 0.0043,0.9632 ± 0.0039,0.9632 ± 0.0039,0.0444 ± 0.0030,0.5417 ± 0.0302,0.0593 ± 0.0108
HC with fairness constraints and equal number of class 1 and class 0 lambda = 40.0,logistic_regression,0.7643 ± 0.0084,0.9631 ± 0.0000,0.8522 ± 0.0052,0.9676 ± 0.0007,0.9676 ± 0.0007,0.0060 ± 0.0021,0.9476 ± 0.0173,0.0582 ± 0.0021
HC with fairness constraints and equal number of class 1 and class 0 lambda = 40.0,random_forest,0.6542 ± 0.0346,0.9710 ± 0.0061,0.7812 ± 0.0242,0.9612 ± 0.0040,0.9612 ± 0.0040,0.0291 ± 0.0193,0.8187 ± 0.1010,0.0822 ± 0.0199
HC with fairness constraints and equal number of class 1 and class 0 lambda = 40.0,xgboost,0.6672 ± 0.0318,0.9818 ± 0.0104,0.7938 ± 0.0186,0.9678 ± 0.0019,0.9678 ± 0.0019,0.0083 ± 0.0060,0.9369 ± 0.0466,0.0601 ± 0.0073
HC with fairness constraints and equal number of class 1 and class 0 lambda = 40.0,mlp,0.6732 ± 0.0402,0.9756 ± 0.0091,0.7958 ± 0.0256,0.9653 ± 0.0014,0.9653 ± 0.0014,0.0288 ± 0.0093,0.8096 ± 0.0562,0.0825 ± 0.0095
HC with fairness constraints and equal number of protected attribute lambda = 40.0,logistic_regression,0.7643 ± 0.0084,0.9631 ± 0.0000,0.8522 ± 0.0052,0.9676 ± 0.0007,0.9676 ± 0.0007,0.0060 ± 0.0021,0.9476 ± 0.0173,0.0582 ± 0.0021
HC with fairness constraints and equal number of protected attribute lambda = 40.0,random_forest,0.6542 ± 0.0346,0.9710 ± 0.0061,0.7812 ± 0.0242,0.9612 ± 0.0040,0.9612 ± 0.0040,0.0291 ± 0.0193,0.8187 ± 0.1010,0.0822 ± 0.0199
HC with fairness constraints and equal number of protected attribute lambda = 40.0,xgboost,0.6672 ± 0.0318,0.9818 ± 0.0104,0.7938 ± 0.0186,0.9678 ± 0.0019,0.9678 ± 0.0019,0.0083 ± 0.0060,0.9369 ± 0.0466,0.0601 ± 0.0073
HC with fairness constraints and equal number of protected attribute lambda = 40.0,mlp,0.6367 ± 0.0342,0.9767 ± 0.0097,0.7702 ± 0.0224,0.9620 ± 0.0016,0.9620 ± 0.0016,0.0325 ± 0.0259,0.8136 ± 0.1327,0.0815 ± 0.0319
HC with fairness constraints and same size as original dataset lambda = 5.0,logistic_regression,0.8970 ± 0.0010,0.9602 ± 0.0000,0.9276 ± 0.0005,0.9749 ± 0.0001,0.9749 ± 0.0001,0.0435 ± 0.0006,0.5581 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 5.0,random_forest,0.8796 ± 0.0048,0.9545 ± 0.0025,0.9155 ± 0.0016,0.9711 ± 0.0010,0.9711 ± 0.0010,0.0394 ± 0.0014,0.6023 ± 0.0160,0.0387 ± 0.0245
HC with fairness constraints and same size as original dataset lambda = 5.0,xgboost,0.8953 ± 0.0036,0.9574 ± 0.0018,0.9253 ± 0.0024,0.9734 ± 0.0010,0.9734 ± 0.0010,0.0430 ± 0.0017,0.5623 ± 0.0173,0.0311 ± 0.0169
HC with fairness constraints and same size as original dataset lambda = 5.0,mlp,0.8717 ± 0.0088,0.9528 ± 0.0029,0.9104 ± 0.0040,0.9698 ± 0.0011,0.9698 ± 0.0011,0.0372 ± 0.0051,0.6255 ± 0.0523,0.0500 ± 0.0227
HC with fairness constraints and double the size of original dataset lambda = 5.0,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0448 ± 0.0000,0.5453 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 5.0,random_forest,0.8935 ± 0.0043,0.9534 ± 0.0029,0.9225 ± 0.0017,0.9714 ± 0.0013,0.9714 ± 0.0013,0.0428 ± 0.0033,0.5637 ± 0.0330,0.0415 ± 0.0166
HC with fairness constraints and double the size of original dataset lambda = 5.0,xgboost,0.8971 ± 0.0049,0.9551 ± 0.0033,0.9252 ± 0.0018,0.9724 ± 0.0015,0.9724 ± 0.0015,0.0441 ± 0.0028,0.5507 ± 0.0295,0.0435 ± 0.0063
HC with fairness constraints and double the size of original dataset lambda = 5.0,mlp,0.8849 ± 0.0047,0.9523 ± 0.0021,0.9174 ± 0.0023,0.9703 ± 0.0010,0.9703 ± 0.0010,0.0407 ± 0.0039,0.5867 ± 0.0393,0.0180 ± 0.0155
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,logistic_regression,0.7056 ± 0.0019,0.9602 ± 0.0000,0.8135 ± 0.0012,0.9613 ± 0.0002,0.9613 ± 0.0002,0.0959 ± 0.0016,0.5152 ± 0.0041,0.1518 ± 0.0016
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,random_forest,0.6442 ± 0.0151,0.9602 ± 0.0000,0.7710 ± 0.0108,0.9552 ± 0.0016,0.9552 ± 0.0016,0.0980 ± 0.0180,0.5389 ± 0.0433,0.1533 ± 0.0188
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,xgboost,0.6862 ± 0.0157,0.9602 ± 0.0000,0.8003 ± 0.0107,0.9595 ± 0.0015,0.9595 ± 0.0015,0.0673 ± 0.0120,0.6228 ± 0.0425,0.1215 ± 0.0125
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,mlp,0.6307 ± 0.0320,0.9602 ± 0.0000,0.7609 ± 0.0227,0.9536 ± 0.0034,0.9536 ± 0.0034,0.1116 ± 0.0240,0.5105 ± 0.0536,0.1675 ± 0.0248
HC with fairness constraints and equal number of protected attribute lambda = 5.0,logistic_regression,0.7056 ± 0.0019,0.9602 ± 0.0000,0.8135 ± 0.0012,0.9613 ± 0.0002,0.9613 ± 0.0002,0.0959 ± 0.0016,0.5152 ± 0.0041,0.1518 ± 0.0016
HC with fairness constraints and equal number of protected attribute lambda = 5.0,random_forest,0.6442 ± 0.0151,0.9602 ± 0.0000,0.7710 ± 0.0108,0.9552 ± 0.0016,0.9552 ± 0.0016,0.0980 ± 0.0180,0.5389 ± 0.0433,0.1533 ± 0.0188
HC with fairness constraints and equal number of protected attribute lambda = 5.0,xgboost,0.6862 ± 0.0157,0.9602 ± 0.0000,0.8003 ± 0.0107,0.9595 ± 0.0015,0.9595 ± 0.0015,0.0673 ± 0.0120,0.6228 ± 0.0425,0.1215 ± 0.0125
HC with fairness constraints and equal number of protected attribute lambda = 5.0,mlp,0.6559 ± 0.0297,0.9591 ± 0.0023,0.7786 ± 0.0205,0.9558 ± 0.0027,0.9558 ± 0.0027,0.0965 ± 0.0207,0.5399 ± 0.0524,0.1518 ± 0.0217
HC with fairness constraints and same size as original dataset lambda = 50.0,logistic_regression,0.8994 ± 0.0010,0.9602 ± 0.0000,0.9288 ± 0.0005,0.9751 ± 0.0001,0.9751 ± 0.0001,0.0451 ± 0.0006,0.5421 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 50.0,random_forest,0.9254 ± 0.0142,0.9114 ± 0.0140,0.9181 ± 0.0068,0.9522 ± 0.0066,0.9522 ± 0.0066,0.0427 ± 0.0047,0.5303 ± 0.0549,0.0107 ± 0.0066
HC with fairness constraints and same size as original dataset lambda = 50.0,xgboost,0.9227 ± 0.0095,0.9131 ± 0.0175,0.9177 ± 0.0080,0.9529 ± 0.0085,0.9529 ± 0.0085,0.0462 ± 0.0061,0.4987 ± 0.0580,0.0263 ± 0.0176
HC with fairness constraints and same size as original dataset lambda = 50.0,mlp,0.9111 ± 0.0081,0.8960 ± 0.0106,0.9035 ± 0.0063,0.9439 ± 0.0052,0.9439 ± 0.0052,0.0351 ± 0.0056,0.6094 ± 0.0599,0.0269 ± 0.0107
HC with fairness constraints and double the size of original dataset lambda = 50.0,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0452 ± 0.0007,0.5418 ± 0.0070,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 50.0,random_forest,0.9036 ± 0.0019,0.9267 ± 0.0042,0.9150 ± 0.0024,0.9587 ± 0.0021,0.9587 ± 0.0021,0.0401 ± 0.0035,0.5743 ± 0.0336,0.0358 ± 0.0045
HC with fairness constraints and double the size of original dataset lambda = 50.0,xgboost,0.9077 ± 0.0069,0.9267 ± 0.0038,0.9171 ± 0.0028,0.9589 ± 0.0017,0.9589 ± 0.0017,0.0389 ± 0.0005,0.5842 ± 0.0085,0.0358 ± 0.0041
HC with fairness constraints and double the size of original dataset lambda = 50.0,mlp,0.9081 ± 0.0102,0.9108 ± 0.0228,0.9091 ± 0.0070,0.9511 ± 0.0108,0.9511 ± 0.0108,0.0341 ± 0.0052,0.6279 ± 0.0445,0.0530 ± 0.0246
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,logistic_regression,0.7785 ± 0.0069,0.9602 ± 0.0000,0.8599 ± 0.0042,0.9673 ± 0.0005,0.9673 ± 0.0005,0.0064 ± 0.0033,0.9429 ± 0.0280,0.0585 ± 0.0035
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,random_forest,0.6495 ± 0.0188,0.9756 ± 0.0039,0.7796 ± 0.0126,0.9630 ± 0.0015,0.9630 ± 0.0015,0.0202 ± 0.0161,0.8696 ± 0.0908,0.0732 ± 0.0167
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,xgboost,0.6827 ± 0.0236,0.9739 ± 0.0033,0.8024 ± 0.0155,0.9656 ± 0.0013,0.9656 ± 0.0013,0.0113 ± 0.0068,0.9116 ± 0.0502,0.0461 ± 0.0123
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,mlp,0.6470 ± 0.0412,0.9716 ± 0.0090,0.7758 ± 0.0267,0.9606 ± 0.0011,0.9606 ± 0.0011,0.0279 ± 0.0168,0.8214 ± 0.1039,0.0808 ± 0.0172
HC with fairness constraints and equal number of protected attribute lambda = 50.0,logistic_regression,0.7785 ± 0.0069,0.9602 ± 0.0000,0.8599 ± 0.0042,0.9673 ± 0.0005,0.9673 ± 0.0005,0.0064 ± 0.0033,0.9429 ± 0.0280,0.0585 ± 0.0035
HC with fairness constraints and equal number of protected attribute lambda = 50.0,random_forest,0.6495 ± 0.0188,0.9756 ± 0.0039,0.7796 ± 0.0126,0.9630 ± 0.0015,0.9630 ± 0.0015,0.0202 ± 0.0161,0.8696 ± 0.0908,0.0732 ± 0.0167
HC with fairness constraints and equal number of protected attribute lambda = 50.0,xgboost,0.6827 ± 0.0236,0.9739 ± 0.0033,0.8024 ± 0.0155,0.9656 ± 0.0013,0.9656 ± 0.0013,0.0113 ± 0.0068,0.9116 ± 0.0502,0.0461 ± 0.0123
HC with fairness constraints and equal number of protected attribute lambda = 50.0,mlp,0.6432 ± 0.0457,0.9699 ± 0.0085,0.7722 ± 0.0316,0.9593 ± 0.0026,0.9593 ± 0.0026,0.0408 ± 0.0232,0.7643 ± 0.1200,0.0942 ± 0.0241
HC with fairness constraints and same size as original dataset lambda = 6.0,logistic_regression,0.9023 ± 0.0012,0.9602 ± 0.0000,0.9304 ± 0.0006,0.9752 ± 0.0001,0.9752 ± 0.0001,0.0470 ± 0.0008,0.5228 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 6.0,random_forest,0.8900 ± 0.0049,0.9557 ± 0.0053,0.9216 ± 0.0038,0.9723 ± 0.0027,0.9723 ± 0.0027,0.0401 ± 0.0024,0.5916 ± 0.0239,0.0477 ± 0.0057
HC with fairness constraints and same size as original dataset lambda = 6.0,xgboost,0.8956 ± 0.0039,0.9597 ± 0.0011,0.9265 ± 0.0026,0.9746 ± 0.0008,0.9746 ± 0.0008,0.0436 ± 0.0018,0.5575 ± 0.0186,0.0434 ± 0.0012
HC with fairness constraints and same size as original dataset lambda = 6.0,mlp,0.8748 ± 0.0116,0.9551 ± 0.0052,0.9131 ± 0.0053,0.9711 ± 0.0022,0.9711 ± 0.0022,0.0308 ± 0.0055,0.6869 ± 0.0577,0.0483 ± 0.0056
HC with fairness constraints and double the size of original dataset lambda = 6.0,logistic_regression,0.9018 ± 0.0018,0.9602 ± 0.0000,0.9301 ± 0.0010,0.9752 ± 0.0001,0.9752 ± 0.0001,0.0467 ± 0.0012,0.5260 ± 0.0120,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 6.0,random_forest,0.8881 ± 0.0011,0.9602 ± 0.0000,0.9227 ± 0.0006,0.9744 ± 0.0001,0.9744 ± 0.0001,0.0379 ± 0.0014,0.6155 ± 0.0134,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 6.0,xgboost,0.8932 ± 0.0019,0.9602 ± 0.0000,0.9255 ± 0.0010,0.9747 ± 0.0001,0.9747 ± 0.0001,0.0410 ± 0.0013,0.5838 ± 0.0128,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 6.0,mlp,0.8858 ± 0.0056,0.9602 ± 0.0000,0.9215 ± 0.0030,0.9743 ± 0.0003,0.9743 ± 0.0003,0.0367 ± 0.0036,0.6280 ± 0.0369,0.0428 ± 0.0000
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,logistic_regression,0.7991 ± 0.0000,0.9602 ± 0.0000,0.8723 ± 0.0000,0.9688 ± 0.0000,0.9688 ± 0.0000,0.0108 ± 0.0000,0.9039 ± 0.0000,0.0633 ± 0.0000
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,random_forest,0.7618 ± 0.0129,0.9602 ± 0.0000,0.8495 ± 0.0080,0.9660 ± 0.0010,0.9660 ± 0.0010,0.0104 ± 0.0076,0.9154 ± 0.0602,0.0614 ± 0.0092
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,xgboost,0.7947 ± 0.0123,0.9602 ± 0.0000,0.8696 ± 0.0074,0.9685 ± 0.0009,0.9685 ± 0.0009,0.0084 ± 0.0033,0.9230 ± 0.0293,0.0542 ± 0.0082
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,mlp,0.7599 ± 0.0360,0.9602 ± 0.0000,0.8480 ± 0.0228,0.9658 ± 0.0029,0.9658 ± 0.0029,0.0186 ± 0.0126,0.8593 ± 0.0746,0.0674 ± 0.0171
HC with fairness constraints and equal number of protected attribute lambda = 6.0,logistic_regression,0.7991 ± 0.0000,0.9602 ± 0.0000,0.8723 ± 0.0000,0.9688 ± 0.0000,0.9688 ± 0.0000,0.0108 ± 0.0000,0.9039 ± 0.0000,0.0633 ± 0.0000
HC with fairness constraints and equal number of protected attribute lambda = 6.0,random_forest,0.7618 ± 0.0129,0.9602 ± 0.0000,0.8495 ± 0.0080,0.9660 ± 0.0010,0.9660 ± 0.0010,0.0104 ± 0.0076,0.9154 ± 0.0602,0.0614 ± 0.0092
HC with fairness constraints and equal number of protected attribute lambda = 6.0,xgboost,0.7947 ± 0.0123,0.9602 ± 0.0000,0.8696 ± 0.0074,0.9685 ± 0.0009,0.9685 ± 0.0009,0.0084 ± 0.0033,0.9230 ± 0.0293,0.0542 ± 0.0082
HC with fairness constraints and equal number of protected attribute lambda = 6.0,mlp,0.7625 ± 0.0140,0.9602 ± 0.0000,0.8500 ± 0.0087,0.9661 ± 0.0011,0.9661 ± 0.0011,0.0113 ± 0.0078,0.9083 ± 0.0595,0.0634 ± 0.0081
HC with fairness constraints and same size as original dataset lambda = 7.0,logistic_regression,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4996 ± 0.0001,0.4996 ± 0.0001,0.0029 ± 0.0012,0.1398 ± 0.2066,0.0030 ± 0.0013
HC with fairness constraints and same size as original dataset lambda = 7.0,random_forest,0.8307 ± 0.0230,0.4648 ± 0.0236,0.5957 ± 0.0217,0.7279 ± 0.0118,0.7279 ± 0.0118,0.0291 ± 0.0027,0.4462 ± 0.0366,0.3711 ± 0.0583
HC with fairness constraints and same size as original dataset lambda = 7.0,xgboost,0.8695 ± 0.0161,0.4813 ± 0.0157,0.6195 ± 0.0162,0.7372 ± 0.0081,0.7372 ± 0.0081,0.0348 ± 0.0031,0.3417 ± 0.0444,0.4147 ± 0.0469
HC with fairness constraints and same size as original dataset lambda = 7.0,mlp,0.7983 ± 0.0453,0.4767 ± 0.0226,0.5960 ± 0.0199,0.7326 ± 0.0109,0.7326 ± 0.0109,0.0253 ± 0.0069,0.5434 ± 0.1263,0.3926 ± 0.0605
HC with fairness constraints and double the size of original dataset lambda = 7.0,logistic_regression,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4999 ± 0.0001,0.4999 ± 0.0001,0.0009 ± 0.0008,0.0000 ± 0.0000,0.0010 ± 0.0008
HC with fairness constraints and double the size of original dataset lambda = 7.0,random_forest,0.8756 ± 0.0160,0.5284 ± 0.0300,0.6587 ± 0.0261,0.7607 ± 0.0150,0.7607 ± 0.0150,0.0444 ± 0.0041,0.2423 ± 0.0619,0.3880 ± 0.0358
HC with fairness constraints and double the size of original dataset lambda = 7.0,xgboost,0.8875 ± 0.0116,0.5193 ± 0.0068,0.6552 ± 0.0070,0.7566 ± 0.0035,0.7566 ± 0.0035,0.0511 ± 0.0021,0.1195 ± 0.0398,0.4729 ± 0.0073
HC with fairness constraints and double the size of original dataset lambda = 7.0,mlp,0.8847 ± 0.0207,0.5182 ± 0.0237,0.6530 ± 0.0162,0.7559 ± 0.0114,0.7559 ± 0.0114,0.0475 ± 0.0069,0.1778 ± 0.0827,0.4200 ± 0.0757
HC with fairness constraints and equal number of class 1 and class 0 lambda = 7.0,logistic_regression,0.1823 ± 0.0148,0.4722 ± 0.0397,0.2630 ± 0.0215,0.6368 ± 0.0211,0.6368 ± 0.0211,0.0419 ± 0.0172,0.8406 ± 0.0573,0.2155 ± 0.0265
HC with fairness constraints and equal number of class 1 and class 0 lambda = 7.0,random_forest,0.2682 ± 0.0022,0.7562 ± 0.0042,0.3960 ± 0.0025,0.7813 ± 0.0019,0.7813 ± 0.0019,0.0709 ± 0.0099,0.7659 ± 0.0264,0.1255 ± 0.0195
HC with fairness constraints and equal number of class 1 and class 0 lambda = 7.0,xgboost,0.2794 ± 0.0039,0.7545 ± 0.0023,0.4078 ± 0.0042,0.7860 ± 0.0022,0.7860 ± 0.0022,0.0396 ± 0.0144,0.8533 ± 0.0451,0.0954 ± 0.0148
HC with fairness constraints and equal number of class 1 and class 0 lambda = 7.0,mlp,0.2669 ± 0.0230,0.7562 ± 0.0049,0.3939 ± 0.0250,0.7796 ± 0.0112,0.7796 ± 0.0112,0.0743 ± 0.0374,0.7725 ± 0.0803,0.1524 ± 0.0310
HC with fairness constraints and equal number of protected attribute lambda = 7.0,logistic_regression,0.1823 ± 0.0148,0.4722 ± 0.0397,0.2630 ± 0.0215,0.6368 ± 0.0211,0.6368 ± 0.0211,0.0419 ± 0.0172,0.8406 ± 0.0573,0.2155 ± 0.0265
HC with fairness constraints and equal number of protected attribute lambda = 7.0,random_forest,0.2682 ± 0.0022,0.7562 ± 0.0042,0.3960 ± 0.0025,0.7813 ± 0.0019,0.7813 ± 0.0019,0.0709 ± 0.0099,0.7659 ± 0.0264,0.1255 ± 0.0195
HC with fairness constraints and equal number of protected attribute lambda = 7.0,xgboost,0.2794 ± 0.0039,0.7545 ± 0.0023,0.4078 ± 0.0042,0.7860 ± 0.0022,0.7860 ± 0.0022,0.0396 ± 0.0144,0.8533 ± 0.0451,0.0954 ± 0.0148
HC with fairness constraints and equal number of protected attribute lambda = 7.0,mlp,0.2635 ± 0.0096,0.7557 ± 0.0060,0.3906 ± 0.0099,0.7786 ± 0.0035,0.7786 ± 0.0035,0.0984 ± 0.0554,0.7223 ± 0.1298,0.1671 ± 0.0287
HC with fairness constraints and same size as original dataset lambda = 8.0,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0448 ± 0.0000,0.5453 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 8.0,random_forest,0.9218 ± 0.0071,0.9165 ± 0.0029,0.9191 ± 0.0033,0.9546 ± 0.0013,0.9546 ± 0.0013,0.0425 ± 0.0019,0.5367 ± 0.0226,0.0163 ± 0.0147
HC with fairness constraints and same size as original dataset lambda = 8.0,xgboost,0.9255 ± 0.0042,0.9176 ± 0.0031,0.9215 ± 0.0011,0.9553 ± 0.0014,0.9553 ± 0.0014,0.0411 ± 0.0026,0.5499 ± 0.0278,0.0150 ± 0.0139
HC with fairness constraints and same size as original dataset lambda = 8.0,mlp,0.9144 ± 0.0104,0.9148 ± 0.0051,0.9145 ± 0.0032,0.9534 ± 0.0021,0.9534 ± 0.0021,0.0383 ± 0.0031,0.5823 ± 0.0327,0.0204 ± 0.0190
HC with fairness constraints and double the size of original dataset lambda = 8.0,logistic_regression,0.8966 ± 0.0000,0.9602 ± 0.0000,0.9273 ± 0.0000,0.9749 ± 0.0000,0.9749 ± 0.0000,0.0432 ± 0.0000,0.5613 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 8.0,random_forest,0.8818 ± 0.0063,0.9443 ± 0.0039,0.9119 ± 0.0026,0.9662 ± 0.0017,0.9662 ± 0.0017,0.0365 ± 0.0020,0.6255 ± 0.0225,0.0334 ± 0.0166
HC with fairness constraints and double the size of original dataset lambda = 8.0,xgboost,0.8896 ± 0.0032,0.9472 ± 0.0043,0.9174 ± 0.0013,0.9681 ± 0.0020,0.9681 ± 0.0020,0.0366 ± 0.0034,0.6224 ± 0.0354,0.0327 ± 0.0173
